system_name,template_name,directory_name
MENU,Menu,MENU
MenuXL,XL Menu,MENUXL
Menu Small,Small Menu - Small Brochure Horizontal,SMALLMENU
Brochure 10.5x17,Menu,MENU
BrochureXL,XL Menu,MENUXL
Brochure Small,Small Menu - Small Brochure Horizontal,SMALLMENU
POSTCARD,Postcard,POSTCARD
JUMBOPC,Jumbo Postcard,JUMBOPC
ColossalPC,Colossal Postcard,COLOSSALPC
SCRATCHOFF,Scratch Off Postcard,SCRATCH-OFF
Jumbo Scratch,Jumbo Scratch Off Postcard,JUMBO-SCRATCHOFF
Peel A Gift,Peel-A-Box Postcard,PEEL-A-BOX
MAGNET,Magnet,MAGNET
Folded Magnet,Folded Magnet DM,FOLDEDMAGNET
2 sided box topper,2SBT - 2 Sided Flyer,2SBT
Box Topper,Monthly BT,MBT
2 Sided Flyer,2SBT - 2 Sided Flyer,2SBT
DOOR HANGER 100LB,Door Hanger,DOORHANGER
Plastic PC Sm - S,Plastic Card Small,SMPLASTIC
Plastic PC Med - S,Plastic Card Medium,MEDPLASTIC
Plastic PC Lg - S,Plastic Card Large,LGPLASTIC
COUPON BOOK,Coupon Booklet,COUPONBOOKLET
Env #10 8.5x11 S1,Envelope Mailer 8_5x11,ENVELOPE
Env #10 8.5x14 S1,Envelope Mailer 8_5x14,LEG-ENVELOPE
BirthdayPC,Birthday Mailer Template Postcard,BIRTHDAY
NEW MOVERS POSTCARD,New Mover Postcard,NEW-MOVER
NEW MOVERS PLASTIC,Plastic Card Small,NM-PLASTIC
BirthdayPlastic,Plastic Card Small,BIRTHDAY-PLASTIC
WC2030,Window Cling 20x30,WINDOWCLING-20x30
WC2436,Window Cling 24x36,WINDOWCLING-24x36
WC3040,Window Cling 30x40,WINDOWCLING-30x40
BusinessCard,Business Cards,BUSSINESSCARD
Artwork Only,NO DEFAULT,ARTWORK
Logo Creation,NO DEFAULT,LOGO-CREATION
Logo Recreation,NO DEFAULT,LOGO-RECREATION
Map Creation,NO DEFAULT,MAP
MENU XXL,XXL Template,MENUXXL
Media Kit,Media Kit Folder,MEDIA-KIT
POP Banner,Popup Retractable Banner,POPBANNER
Flyer 8.5X11,NO DEFAULT,FLYER
80LBFLYER,Small Menu - Small Brochure Horizontal,SMALLMENU
EDDM MENU,Menu,MENU
EDDM XL MENU,XL Menu,MENUXL
EDDMBroch,Menu,MENU
EDDMBrochXL,XL Menu,MENUXL
EDDM POSTCARD,Postcard,POSTCARD
EDDMJumboPC,Jumbo Postcard,JUMBOPC
EDDMColossal,Colossal Postcard,COLOSSALPC
EDDM Scratch Off,Scratch Off Postcard,SCRATCH-OFF
EDDMJumboSO,Jumbo Scratch Off Postcard,JUMBO-SCRATCHOFF
EDDM Mag,Magnet,MAGNET
EDDM Folded Magnet,Folded Magnet EDDM,FOLDEDMAGNET
100# Gloss Postcard,Postcard,POSTCARD
Menu- Flat,Menu,MENU
MenuXL-Flat,XL Menu,MENUXL
PizzaPeelCard,Peel-A-Box Postcard,PEEL-A-BOX
Env #10 8.5x11 S2,Envelope Mailer 8_5x11,ENVELOPE
Env #10 8.5x11 V1,Envelope Mailer 8_5x11,ENVELOPE
Env #10 8.5x11 V2,Envelope Mailer 8_5x11,ENVELOPE
Env #10 8.5x14 S2,Envelope Mailer 8_5x14,LEG-ENVELOPE
Env #10 8.5x14 V1,Envelope Mailer 8_5x14,LEG-ENVELOPE
Env #10 8.5x14 V2,Envelope Mailer 8_5x14,LEG-ENVELOPE
WC2430,NO DEFAULT,WINDOWCLING24x30
WCCust,NO DEFAULT,WINDOWCLING-CUSTOM
WCPoster2Side2430,NO DEFAULT,WINDOWCLING24x30
